Event_Geo,Event_Culture,Culture_base
NA,en-us,en-us
NA,en-ca,en-ca
NA,en-ca,fr-ca
NA,NA_all,en-us
NA,NA_all,en-ca
NA,NA_all,fr-ca
EMEA,en-gb,en-gb
EMEA,de-de,de-de
EMEA,ru-ru,ru-ru
EMEA,es-es,es-es
EMEA,fr-fr,fr-fr
EMEA,tr-tr,tr-tr
EMEA,it-it,it-it
EMEA,pl-pl,pl-pl
EMEA,nl-nl,nl-nl
EMEA,sv-se,sv-se
EMEA,pt-pt,pt-pt
EMEA,en-ie,en-ie
EMEA,nb-no,nb-no
EMEA,cs-cz,cs-cz
EMEA,da-dk,da-dk
EMEA,fi-fi,fi-fi
EMEA,el-gr,el-gr
EMEA,de-ch,de-ch
EMEA,es-pa,es-pa
EMEA,en-zw,en-zw
EMEA,en-tt,en-tt
EMEA,hu-hu,hu-hu
EMEA,sk-sk,sk-sk
EMEA,fr-ch,fr-ch
EMEA,EMEA_all,en-gb
EMEA,EMEA_all,de-de
EMEA,EMEA_all,ru-ru
EMEA,EMEA_all,es-es
EMEA,EMEA_all,fr-fr
EMEA,EMEA_all,tr-tr
EMEA,EMEA_all,it-it
EMEA,EMEA_all,pl-pl
EMEA,EMEA_all,nl-nl
EMEA,EMEA_all,sv-se
EMEA,EMEA_all,pt-pt
EMEA,EMEA_all,en-ie
EMEA,EMEA_all,nb-no
EMEA,EMEA_all,cs-cz
EMEA,EMEA_all,da-dk
EMEA,EMEA_all,fi-fi
EMEA,EMEA_all,el-gr
EMEA,EMEA_all,de-ch
EMEA,EMEA_all,es-pa
EMEA,EMEA_all,en-zw
EMEA,EMEA_all,en-tt
EMEA,EMEA_all,hu-hu
EMEA,EMEA_all,sk-sk
EMEA,EMEA_all,fr-ch
LTAM,pt-br,pt-br
LTAM,es-mx,es-mx
LTAM,es-co,es-co
LTAM,es-ar,es-ar
LTAM,es-cl,es-cl
LTAM,es-pe,es-pe
LTAM,es-pa,es-pa
LTAM,en-tt,en-tt
LTAM,en-pa,en-pa
LTAM,LTAM_all,pt-br
LTAM,LTAM_all,es-mx
LTAM,LTAM_all,es-co
LTAM,LTAM_all,es-ar
LTAM,LTAM_all,es-cl
LTAM,LTAM_all,es-pe
LTAM,LTAM_all,es-pa
LTAM,LTAM_all,en-tt
LTAM,LTAM_all,en-pa
JAPAC,zh-cn,zh-cn
JAPAC,ja-jp,ja-jp
JAPAC,ko-kr,ko-kr
JAPAC,en-in,en-in
JAPAC,zh-tw,zh-tw
JAPAC,en-au,en-au
JAPAC,en-ph,en-ph
JAPAC,en-my,en-my
JAPAC,en-sg,en-sg
JAPAC,zh-hk,zh-hk
JAPAC,en-nz,en-nz
JAPAC,JAPAC_all,zh-cn
JAPAC,JAPAC_all,ja-jp
JAPAC,JAPAC_all,ko-kr
JAPAC,JAPAC_all,en-in
JAPAC,JAPAC_all,zh-tw
JAPAC,JAPAC_all,en-au
JAPAC,JAPAC_all,en-ph
JAPAC,JAPAC_all,en-my
JAPAC,JAPAC_all,en-sg
JAPAC,JAPAC_all,zh-hk
JAPAC,JAPAC_all,en-nz
WW,WW_all,en-us
WW,WW_all,en-ca
WW,WW_all,fr-ca
WW,WW_all,en-us
WW,WW_all,en-ca
WW,WW_all,fr-ca
WW,WW_all,en-gb
WW,WW_all,de-de
WW,WW_all,ru-ru
WW,WW_all,es-es
WW,WW_all,fr-fr
WW,WW_all,tr-tr
WW,WW_all,it-it
WW,WW_all,pl-pl
WW,WW_all,nl-nl
WW,WW_all,sv-se
WW,WW_all,pt-pt
WW,WW_all,en-ie
WW,WW_all,nb-no
WW,WW_all,cs-cz
WW,WW_all,da-dk
WW,WW_all,fi-fi
WW,WW_all,el-gr
WW,WW_all,de-ch
WW,WW_all,es-pa
WW,WW_all,en-zw
WW,WW_all,en-tt
WW,WW_all,hu-hu
WW,WW_all,sk-sk
WW,WW_all,fr-ch
WW,WW_all,pt-br
WW,WW_all,es-mx
WW,WW_all,es-co
WW,WW_all,es-ar
WW,WW_all,es-cl
WW,WW_all,es-pe
WW,WW_all,es-pa
WW,WW_all,en-tt
WW,WW_all,en-pa
WW,WW_all,en-in
WW,WW_all,zh-cn
WW,WW_all,ja-jp
WW,WW_all,ko-kr
WW,WW_all,zh-tw
WW,WW_all,en-au
WW,WW_all,en-ph
WW,WW_all,en-my
WW,WW_all,en-sg
WW,WW_all,zh-hk
WW,WW_all,en-nz
EMEA,EMEA_t1,de-de
EMEA,EMEA_t1,de-ch
EMEA,EMEA_t1,fr-fr
EMEA,EMEA_t1,fr-ch
EMEA,EMEA_t1,es-es
EMEA,EMEA_t1,nl-nl
EMEA,EMEA_t1,it-it
EMEA,EMEA_t1,ru-ru
EMEA,EMEA_t2,pl-pl
EMEA,EMEA_t2,da-dk
EMEA,EMEA_t2,nb-no
EMEA,EMEA_t2,fi-fi
EMEA,EMEA_t2,tr-tr
EMEA,EMEA_t2,pt-pt
EMEA,EMEA_t2,el-gr
EMEA,EMEA_t2,cs-cz
EMEA,EMEA_t2,sv-se
EMEA,EMEA_nordics,de-ch
EMEA,EMEA_nordics,fr-ch
EMEA,EMEA_nordics,sv-se
EMEA,EMEA_nordics,nb-no
EMEA,EMEA_nordics,da-dk
JAPAC,APAC_EN_star,en-in
JAPAC,APAC_EN_star,en-au
JAPAC,APAC_EN_star,en-ph
JAPAC,APAC_EN_star,en-my
JAPAC,APAC_EN_star,en-sg
JAPAC,APAC_EN_star,en-nz
WW,WW_EN_star,en-us
WW,WW_EN_star,en-gb
WW,WW_EN_star,en-ca
WW,WW_EN_star,en-au
WW,WW_EN_star,en-ie
WW,WW_EN_star,en-nz
WW,WW_EN_star,en-in
WW,WW_EN_star,en-sg
WW,WW_EN_star,en-ph
WW,WW_EN_star,en-my
